time,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,stop10,stop11,stop12,stop13,stop14,stop15,stop16,stop17,stop18
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0,294.5,294,293.5,300,0,298,0,297,295.5,300,297,295.5,300,0,286.5,0,270
1200,300,299,298.5,301,0,0,291,0,286.5,0,0,298,301.5,300,300.5,310,311.5,317.5
1800,0,296.5,0,287.5,300,0,301,0,307,0,300,305,306.5,300,300.5,298.5,294.5,291
2400,300,0,0,301,300,0,321.5,0,324.5,329.5,300,301.5,298.5,0,300.5,302,312,316
3000,300,325,332.5,341.5,300,307,308.5,325.5,335.5,344.5,300,310,322.5,328,339,349.5,360.5,360.5
3600,300,301.5,301.5,302,300,308.5,315.5,318,316.5,316,300,299,297,290.5,408.57,601,583,289
4200,300,298.5,304.5,310,301.5,309.5,313.5,319,324.5,329,300,300.5,298,293,330.37,1143,1127,279.21
4800,300,336,334.5,330,320.5,306.5,303.5,297.5,287,276,300,299,297.5,289,370.56,1746,1727,299.5
5549,374.5,377,370.5,364.5,345,341,334,328.5,334,341.5,307.5,302.5,301.5,299.5,350.31,1904.8,0,295
6080,265.5,245,246,255,276.5,289.5,301.5,312,306,303.5,297,305.5,310,319,324.5,2364,2944,328.12
6663,291.5,289,290.5,284.5,266,248.5,243.5,237.5,242,242.5,295.5,288,280.5,281,442.4,2901,0,263
7212,274.5,264,264,261.5,319.55,288.5,284.5,279,274,266,300,297.5,298.5,300,602,2980,0,357.57
7800,294,318,313.5,315,300,303,308.5,312.5,319,328.5,300,302,304,300,481.6,3595,4751,326.5
8433,316.5,338.5,347.5,354.5,355,378,401.5,423.5,428.5,435,389.5,400,400.5,400.5,403.5,4075.8,5586,414
9000,283.5,272,273,274.5,269,248.5,230,211.5,204,0,210.5,195.5,192.5,199.5,195.5,3488.6,0,173.5
9600,300,274,0,0,276,267.5,262.5,255.5,0,252,300,301.5,300,300,294.5,3347.2,0,275.5
10226,430.38,439.6,603.5,0,533.33,305,0,323,324.5,325.5,300,300.5,297,300,305,2882.6,0,328
11051,412.5,422,618.52,0,843,420,434.5,456,0,0,428,429.5,0,406,406.5,1713.7,7699.5,430
11400,174.5,148,189.06,912.63,638,172,0,110,85,0,172,169,168,194,190.5,187.5,7685,288
12000,300,318.5,323,324.5,762.89,322.5,325.5,328.5,335,0,300,302,302.5,300,304.5,318,7795,949
12600,300,315.5,315.5,319,423.69,297,298.5,301,311.5,0,300,0,300,300,300.5,293.5,7941.7,1393
13396,398,0,422,443.5,466.5,478.5,482,495.5,498,0,472,0,480.5,479.5,490,513.5,8307.3,1086.8
13800,404,0,145.5,122,127.5,97,80.5,59.5,0,0,128,0,120.5,0,0,77.5,7735,0
14400,1004,317,320.5,321,300,310.5,312,323,329,344.5,300,0,424.67,600,815,302.5,8343,691
15000,965.22,313.5,429.33,328.5,510.71,490.5,551.67,682,338,335,300,0,338.06,600,1343,312,8975,1314
16051,732.93,547.5,1088,1072,1054,737.8,1033,1225.4,0,550.5,518,0,515,718.61,1639.6,527,10076,2449
16200,74.5,0,0,0,1150,0,46,0,0,0,82,81.5,84,102.5,1194,70,0,0
16800,514.29,311.5,618,978.33,871.67,461.25,667,1725,315.5,310.5,300,305.5,310.5,300,975.8,386.36,10126,3136
17400,600,329.5,1281.8,899.55,1369,363,1423,1889.7,400,400.5,329.5,326.5,322.5,306,458.25,298.5,9022.5,3798
18501,1341,0,1450.8,560,1376.8,540.5,2100.6,2378.3,579.5,579.5,0,591.5,0,592.5,0,0,5558.4,4645.7
18600,1200,0,1104,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
19200,732.85,369.5,810.28,368.5,461.14,365.5,1078.4,2163.2,365,361,0,353.5,0,357.5,351.5,360,1585.1,1809.6
19800,409.09,290.5,527,296,296.5,300.5,347.16,1487.4,313.5,322.5,0,355.5,0,408.5,424.5,446,465,465.5
21146,914.59,1428,1161.3,766.5,813.5,872.5,903,1583.1,1124.4,1031.5,0,0,1076,1264,1233,1203,1235,1248.5
21150,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
21914,702.45,2198,757,365,352.5,546.54,314,465.54,545,405,0,0,274.5,532,221.5,167.5,110,163
22812,633.88,1482.5,1696,467,491,1036,538.5,640.07,991.53,579,0,0,550,1043.2,554.5,576,566,861.42
25364,1276,2949.4,3082.6,1322.5,1393.5,2888.5,1408,1429.5,1773,1552,0,0,1604,1938,1691.5,1705.5,1757.5,2271.3
25367,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
25452,88,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0
26620,1256,1447.9,3665,479.5,513.88,3477,394.81,432,115.5,0,0,0,0,9,0,0,0,0
30237,4558.4,4863,4049.1,2026.5,2095,5062.4,2257,3685.1,2412,2490,2496,2539.5,2593.5,2744.6,2572,2549,2616,5107
30240,3620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35416,7627.4,8103.8,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
35419,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
35422,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
35425,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
