busID,depTime,cycleEndTime,nxtID
0,0,0,0
10000,1,2341,10001
20000,600,2829,20001
30000,1200,3487,30001
40000,1800,4073,40001
10001,2400,4732,10002
20001,3000,5549,20002
30001,3600,6080,30002
40001,4200,6663,40002
10002,4800,7212,10003
20002,5549,7790,20003
30002,6080,8433,30003
40002,6663,8937,40003
10003,7212,9584,10004
20003,7800,10226,20004
30003,8433,11051,30004
40003,9000,11334,40004
10004,9600,11890,10005
20004,10226,12549,20005
30004,11051,13396,30005
40004,11400,13699,40005
10005,12000,14360,10006
20005,12600,14944,20006
30005,13396,16051,30006
40005,13800,16080,40006
10006,14400,16694,10007
20006,15000,17314,20007
30006,16051,18501,30007
40006,16200,18542,40007
10007,16800,19135,10008
20007,17400,19797,20008
30007,18501,21146,30008
40007,18600,21150,40008
10008,19200,21914,10009
20008,19800,22812,20009
30008,21146,25364,30009
40008,21150,25367,40009
10009,21914,25452,10010
20009,22812,26620,20010
30009,25364,30237,30010
40009,25367,30240,40010
10010,25452,30243,10011
20010,26620,30246,20011
30010,30237,35416,30011
40010,30240,35419,40011
10011,30243,35422,10012
20011,30246,35425,20012
